Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LaMarcus Aldridge,C,36,BRK,40,11,22.8,5.8,10.3,.557,0.3,1.0,.308,5.5,9.4,.583,.571,1.9,2.2,.860,1.6,4.1,5.7,0.9,0.3,1.1,1.0,1.8,13.7
Jarrett Allen,C,23,CLE,51,51,32.6,6.5,9.9,.664,0.0,0.2,.100,6.5,9.7,.675,.665,3.0,4.3,.700,3.6,7.4,11.0,1.8,0.7,1.4,1.7,1.8,16.1
Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
Marvin Bagley III,PF,22,DET,3,0,23.7,5.0,10.0,.500,0.0,1.3,.000,5.0,8.7,.577,.500,0.7,2.3,.286,2.3,3.7,6.0,0.3,0.0,0.3,0.3,2.0,10.7
LaMelo Ball,PG,20,CHO,53,53,32.7,7.2,16.9,.423,2.7,7.3,.367,4.5,9.6,.467,.503,3.1,3.6,.857,1.6,5.5,7.1,7.5,1.6,0.4,3.2,3.2,20.0
Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
Cat Barber,PG,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,0,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
Will Barton,SG,31,DEN,52,52,32.3,5.9,13.1,.449,2.3,6.0,.373,3.6,7.1,.515,.535,1.4,1.8,.798,0.6,4.3,5.0,3.9,0.8,0.5,1.9,1.5,15.5
Jordan Bell,C,27,CHI,1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
DeAndre' Bembry,SF,27,BRK,48,20,19.8,2.5,4.4,.568,0.3,0.8,.417,2.2,3.7,.599,.603,0.4,0.7,.600,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8
Dāvis Bertāns,PF,29,DAL,2,0,15.5,2.5,7.5,.333,2.0,7.0,.286,0.5,0.5,1.000,.467,0.5,0.5,1.000,0.5,2.0,2.5,1.0,0.0,0.0,0.0,2.0,7.5
Saddiq Bey,SF,22,DET,59,59,33.5,5.4,14.0,.386,2.5,7.4,.342,2.8,6.5,.435,.477,2.4,2.9,.830,1.4,4.3,5.8,2.8,0.9,0.2,1.3,1.6,15.7
Nemanja Bjelica,C,33,GSW,54,0,15.2,2.3,5.0,.459,0.8,2.2,.339,1.5,2.7,.558,.535,0.8,1.2,.682,0.8,3.0,3.9,1.9,0.6,0.3,1.1,1.6,6.1
Bogdan Bogdanović,SG,29,ATL,41,26,29.0,5.0,11.5,.434,2.5,6.7,.377,2.5,4.8,.515,.544,1.1,1.4,.786,0.4,3.5,3.9,3.0,1.0,0.2,1.1,2.1,13.6
Bol Bol,PF,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
James Bouknight,SG,21,CHO,28,0,10.6,1.7,4.9,.353,0.6,1.8,.347,1.1,3.1,.356,.415,1.0,1.1,.871,0.8,1.0,1.7,0.8,0.3,0.0,0.5,1.0,5.0
Tony Bradley,C,24,CHI,45,7,11.1,1.4,2.4,.579,0.0,0.0,0,1.4,2.4,.579,.579,0.3,0.5,.667,1.3,2.4,3.7,0.5,0.2,0.7,0.6,1.2,3.1
Miles Bridges,PF,23,CHO,58,58,36.3,7.4,15.4,.481,1.8,5.9,.308,5.6,9.5,.589,.540,3.3,4.2,.798,1.2,6.0,7.2,3.6,1.0,0.9,2.0,2.6,20.0
Bruce Brown,SF,25,BRK,51,24,21.5,2.7,5.6,.483,0.3,0.9,.318,2.5,4.8,.512,.507,0.9,1.2,.730,1.3,3.1,4.4,1.4,1.0,0.5,0.6,2.4,6.6
Charlie Brown Jr.,SG,24,DAL,3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,0,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
Chaundee Brown Jr.,SG,23,ATL,3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
Jaylen Brown,SF,25,BOS,47,47,34.2,8.6,18.7,.461,2.6,7.5,.350,6.0,11.2,.534,.531,3.8,5.0,.768,0.8,5.6,6.4,3.3,1.1,0.3,2.9,2.5,23.6
Moses Brown,C,22,DAL,26,1,6.5,1.0,1.9,.540,0.0,0.0,0,1.0,1.9,.540,.540,1.0,1.7,.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1
Sterling Brown,SG,26,DAL,38,3,13.8,1.3,3.4,.398,0.7,2.1,.342,0.6,1.3,.490,.504,0.3,0.3,.909,0.6,2.8,3.4,0.8,0.3,0.1,0.6,1.2,3.7
Troy Brown Jr.,SF,22,CHI,49,6,18.1,1.8,4.4,.402,0.7,2.1,.333,1.0,2.2,.468,.484,0.4,0.5,.760,0.7,2.8,3.5,1.1,0.6,0.1,0.4,1.1,4.6
